timestamp,src_ip,dst_ip,proto,port,up_bytes,down_bytes,dst_country
10:16:02,192.168.100.188,192.168.100.224,udp,53,232,734,
10:16:02,192.168.100.188,192.168.100.224,udp,53,228,602,
10:16:02,192.168.100.188,192.168.100.225,udp,53,278,477,
10:16:02,192.168.100.188,192.168.100.225,udp,53,312,513,
10:16:02,192.168.100.188,192.168.100.225,udp,53,261,483,
10:16:02,192.168.100.188,192.168.100.225,udp,53,229,584,
10:16:02,192.168.100.188,192.168.100.225,udp,53,278,509,
10:16:02,192.168.100.188,192.168.100.225,udp,53,265,600,
10:16:02,192.168.100.188,192.168.100.225,udp,53,272,619,
10:16:02,192.168.100.188,192.168.100.225,udp,53,322,621,
10:16:02,192.168.100.188,192.168.100.225,udp,53,308,561,
10:16:02,192.168.100.188,192.168.100.225,udp,53,316,520,
10:16:02,192.168.100.188,192.168.100.225,udp,53,308,599,
10:16:02,192.168.100.188,192.168.100.225,udp,53,266,567,
10:16:02,192.168.100.188,192.168.100.225,udp,53,306,617,
10:16:03,192.168.100.188,192.168.100.225,udp,53,278,505,
10:16:03,192.168.100.188,192.168.100.225,udp,53,322,561,
10:16:03,192.168.100.188,192.168.100.225,udp,53,298,530,
10:16:03,192.168.100.188,192.168.100.225,udp,53,269,613,
10:16:03,192.168.100.188,192.168.100.225,udp,53,312,535,
10:16:03,192.168.100.188,192.168.100.225,udp,53,284,556,
10:16:03,192.168.100.188,192.168.100.225,udp,53,301,651,
10:16:03,192.168.100.188,192.168.100.225,udp,53,303,607,
10:16:03,192.168.100.188,192.168.100.225,udp,53,282,610,
10:16:03,192.168.100.188,192.168.100.225,udp,53,304,650,
10:16:03,192.168.100.188,192.168.100.225,udp,53,301,610,
10:16:03,192.168.100.188,192.168.100.235,tcp,443,6220,51804,
10:16:03,192.168.100.188,192.168.100.235,tcp,443,8542,58125,
10:16:04,192.168.100.188,192.168.100.235,tcp,443,19894,126157,
10:16:05,192.168.100.188,192.168.100.235,tcp,443,18740,167682,
